city,project,country,province,link,slug,id
Piracicaba,Piracicaba,Brazil,São Paulo,https://www.inaturalist.org/projects/desafio-da-natureza-urbana-2026-piracicaba-sao-paulo-vizinhos-silvestres,desafio-da-natureza-urbana-2026-piracicaba-sao-paulo-vizinhos-silvestres,278010
Palu,Palu and Surrounding Area,Indonesia,Central Sulawesi,https://www.inaturalist.org/projects/city-nature-challenge-2026-palu-and-surrounding-area,city-nature-challenge-2026-palu-and-surrounding-area,270080
Cúcuta,Cúcuta,Colombia,Norte de Santander,https://colombia.inaturalist.org/projects/city-nature-challenge-2026-cucuta,city-nature-challenge-2026-cucuta,273998
Sabana de Bogotá,Sabana de Bogotá,Colombia,Bogotá,https://colombia.inaturalist.org/projects/reto-naturalista-2026-sabana-de-bogota,reto-naturalista-2026-sabana-de-bogota,270187
Baraya,Baraya,Colombia,Baraya,https://colombia.inaturalist.org/projects/reto-naturalista-urbano-baraya-2026,reto-naturalista-urbano-baraya-2026,274985
Departamento de Guatemala,Departamento de Guatemala,Guatemala,Departamento de Guatemala,https://guatemala.inaturalist.org/projects/reto-naturalista-2026-departamento-de-guatemala,reto-naturalista-2026-departamento-de-guatemala,265959
Departamento de Petén,Petén,Guatemala,Departamento de Petén,https://guatemala.inaturalist.org/projects/reto-naturalista-2026-peten,reto-naturalista-2026-peten,266615
Campbell Town,Tasmania,Australia,Tasmania,https://inaturalist.ala.org.au/projects/city-nature-challenge-2026-tasmania,city-nature-challenge-2026-tasmania,265458
Montreal | Tiohtià:ke,Tiohtià:ke | Grande région de Montréal | Greater Montreal Area,Canada,Quebec,https://inaturalist.ca/projects/c-n-c-defi-nature-urbaine-2026-tiohtia-ke-grand-montreal-greater-montreal-qc-ca,c-n-c-defi-nature-urbaine-2026-tiohtia-ke-grand-montreal-greater-montreal-qc-ca,266320
Brandon,Brandon and Area,Canada,Manitoba,https://inaturalist.ca/projects/city-nature-challenge-2026-brandon-area,city-nature-challenge-2026-brandon-area,266456
Calgary,Calgary Metropolitan Region,Canada,Alberta,https://inaturalist.ca/projects/city-nature-challenge-2026-calgary-metropolitan-region,city-nature-challenge-2026-calgary-metropolitan-region,270324
Cape Breton Regional Municipality,CBRM,Canada,Nova Scotia,https://inaturalist.ca/projects/city-nature-challenge-2026-cape-breton-regional-municipality,city-nature-challenge-2026-cape-breton-regional-municipality,270282
Charlottetown,Greater Charlottetown,Canada,Prince Edward Island,https://inaturalist.ca/projects/city-nature-challenge-2026-charlottetown-pei,city-nature-challenge-2026-charlottetown-pei,274627
Barrie,Barrie,Canada,Ontario,https://inaturalist.ca/projects/city-nature-challenge-2026-city-of-barrie,city-nature-challenge-2026-city-of-barrie,266255
London,London,Canada,Ontario,https://inaturalist.ca/projects/city-nature-challenge-2026-london-on,city-nature-challenge-2026-london-on,266309
Edmonton,Edmonton metro area,Canada,Alberta,https://inaturalist.ca/projects/city-nature-challenge-2026-metro-edmonton-area,city-nature-challenge-2026-metro-edmonton-area,274820
Vancouver,Metro Vancouver Regional District,Canada,British Columbia,https://inaturalist.ca/projects/city-nature-challenge-2026-metro-vancouver-regional-district-mvrd,city-nature-challenge-2026-metro-vancouver-regional-district-mvrd,264008
Chatham,Chatham-Kent,Canada,Ontario,https://inaturalist.ca/projects/city-nature-challenge-2026-municipality-of-chatham-kent,city-nature-challenge-2026-municipality-of-chatham-kent,276777
Ottawa,Ottawa,Canada,Ontario,https://inaturalist.ca/projects/city-nature-challenge-2026-ottawa,city-nature-challenge-2026-ottawa,273839
Red Deer,Red Deer Area,Canada,Alberta,https://inaturalist.ca/projects/city-nature-challenge-2026-red-deer-area,city-nature-challenge-2026-red-deer-area,278797
Saskatoon,Saskatoon,Canada,Saskatchewan,https://inaturalist.ca/projects/city-nature-challenge-2026-saskatoon-sk,city-nature-challenge-2026-saskatoon-sk,270566
Summerside,Greater Summerside,Canada,Prince Edward Island,https://inaturalist.ca/projects/city-nature-challenge-2026-summerside-pei,city-nature-challenge-2026-summerside-pei,274628
Thunder Bay,Thunder Bay District,Canada,Ontario,https://inaturalist.ca/projects/city-nature-challenge-2026-thunder-bay-district-on-canada,city-nature-challenge-2026-thunder-bay-district-on-canada,270275
Winnipeg,Winnipeg Region,Canada,Manitoba,https://inaturalist.ca/projects/city-nature-challenge-2026-winnipeg-region-mb-canada,city-nature-challenge-2026-winnipeg-region-mb-canada,249425
Gatineau,Gatineau and the Outaouais,Canada,Quebec,https://inaturalist.ca/projects/defi-nature-urbaine-2026-gatineau-et-environs-city-nature-challenge-2026,defi-nature-urbaine-2026-gatineau-et-environs-city-nature-challenge-2026,273840
Quebec City,Région de Québec,Canada,Québec,https://inaturalist.ca/projects/defi-nature-urbaine-2026-region-de-quebec,defi-nature-urbaine-2026-region-de-quebec,265895
Santiago de Chile,Santiago de Chile,Chile,Region Metrolitana de Santiago,https://inaturalist.mma.gob.cl/projects/city-nature-challenge-2026-santiago-de-chile,city-nature-challenge-2026-santiago-de-chile,265382
Christchurch,Ōtautahi/Christchurch,New Zealand,Canterbury,https://inaturalist.nz/projects/city-nature-challenge-2026-otautahi-christchurch,city-nature-challenge-2026-otautahi-christchurch,247454
Queenstown,Queenstown Lakes,New Zealand,Otago,https://inaturalist.nz/projects/city-nature-challenge-2026-queenstown-lakes,city-nature-challenge-2026-queenstown-lakes,278392
Nanaimo,Regional District of Nanaimo,Canada,British Columbia,https://inaturalist.nz/projects/city-nature-challenge-2026-regional-district-of-nanaimo,city-nature-challenge-2026-regional-district-of-nanaimo,274814
Taranaki,Taranaki,New Zealand,Taranaki,https://inaturalist.nz/projects/city-nature-challenge-2026-taranaki,city-nature-challenge-2026-taranaki,273661
Luxembourg,Luxembourg,Luxembourg,Luxembourg,https://inaturalist.org/projects/city-nature-challenge-2026-luxembourg,city-nature-challenge-2026-luxembourg,266190
Cosalá,Cosalá,Mexico,Sinaloa/Cosalá,https://mexico.inaturalist.org/projects/city-nature-challenge-2026-cosala-sinaloa,city-nature-challenge-2026-cosala-sinaloa,269778
Villahermosa,Villahermosa,Mexico,Tabasco,https://mexico.inaturalist.org/projects/cnc-2026-villahermosa-tabasco,cnc-2026-villahermosa-tabasco,275089
Delicias,Delicias-Meoqui-Rosales-Julimes,Mexico,Chihuahua,https://mexico.inaturalist.org/projects/reto-naturalista-2026-centro-sur-chihuahua-meoqui-delicias-julimes-rosales-mexico,reto-naturalista-2026-centro-sur-chihuahua-meoqui-delicias-julimes-rosales-mexico,275147
Chihuahua,Chihuahua,Mexico,Chihuahua,https://mexico.inaturalist.org/projects/reto-naturalista-2026-chihuahua-mexcio,reto-naturalista-2026-chihuahua-mexcio,268819
Ecatepec de Morelos,Ecatepec de Morelos,Mexico,Estado De México,https://mexico.inaturalist.org/projects/reto-naturalista-ecatepec-2026,reto-naturalista-ecatepec-2026,266292
Mazatlán,Mazatlán,Mexico,Sinaloa,https://mexico.inaturalist.org/projects/reto-naturalista-mazatlan-sinaloa-2026,reto-naturalista-mazatlan-sinaloa-2026,265533
Mexico City,Ciudad de México,Mexico,Ciudad de México,https://mexico.inaturalist.org/projects/reto-naturalista-primavera-2026-ciudad-de-mexico,reto-naturalista-primavera-2026-ciudad-de-mexico,264862
Amanalco de Becerra,Amanalco de Becerra,Mexico,Estado de México,https://mexico.inaturalist.org/projects/reto-naturalista-urbano-2026-amanalco-de-becerra-edo-mex,reto-naturalista-urbano-2026-amanalco-de-becerra-edo-mex,266298
Atenco,Atenco,Mexico,Estado de México,https://mexico.inaturalist.org/projects/reto-naturalista-urbano-2026-atenco,reto-naturalista-urbano-2026-atenco,266385
Colima,Colima - Villa de Álvarez área,Mexico,Colima,https://mexico.inaturalist.org/projects/reto-naturalista-urbano-2026-colima,reto-naturalista-urbano-2026-colima,271263
Monterrey,Monterrey Zona Metropolitana,Mexico,Nuevo Leon,https://mexico.inaturalist.org/projects/reto-naturalista-urbano-2026-monterrey-zona-metropolitana,reto-naturalista-urbano-2026-monterrey-zona-metropolitana,272388
Puerto Vallarta,Reto Naturalista Urbano 2026: Puerto Vallarta,Mexico,Jalisco,https://mexico.inaturalist.org/projects/reto-naturalista-urbano-2026-puerto-vallarta,reto-naturalista-urbano-2026-puerto-vallarta,274757
Tapachula,Tapachula,Mexico,Chiapas,https://mexico.inaturalist.org/projects/reto-naturalista-urbano-2026-tapachula-chiapas-mx,reto-naturalista-urbano-2026-tapachula-chiapas-mx,270175
Tizimin,Tizimin,Mexico,Yucatan,https://mexico.inaturalist.org/projects/reto-naturalista-urbano-2026-tizimin,reto-naturalista-urbano-2026-tizimin,266232
Tulum,Tulum,Mexico,Quintana Roo,https://mexico.inaturalist.org/projects/reto-naturalista-urbano-2026-tulum-q-roo,reto-naturalista-urbano-2026-tulum-q-roo,269454
Ahome,Municipio De Ahome,Mexico,Sinaloa,https://mexico.inaturalist.org/projects/reto-naturalista-urbano-ahome-sinaloa-2026,reto-naturalista-urbano-ahome-sinaloa-2026,264388
Guadalajara,Area Metropolitana de Guadalajara,Mexico,Jalisco,https://mexico.inaturalist.org/projects/reto-naturalista-urbano-area-metropolitana-de-guadalajara-2026,reto-naturalista-urbano-area-metropolitana-de-guadalajara-2026,265733
Panamá,Ciudad de Panamá y San Miguelito,Panama,Panamá,https://panama.inaturalist.org/projects/reto-naturalista-urbano-2026-ciudad-de-panama-y-san-miguelito,reto-naturalista-urbano-2026-ciudad-de-panama-y-san-miguelito,266313
San Sebastián de los Reyes,San Sebastián de los Reyes,Spain,Comunidad de Madrid,https://spain.inaturalist.org/projects/biomaraton-cnc-2026-sanse,biomaraton-cnc-2026-sanse,267779
Birmingham,Birmingham & Black Country,England,West Midlands,https://uk.inaturalist.org/projects/city-nature-challenge-2026-birmingham-black-country,city-nature-challenge-2026-birmingham-black-country,265091
Chester,Chester Region,England,Cheshire,https://uk.inaturalist.org/projects/city-nature-challenge-2026-chester-region,city-nature-challenge-2026-chester-region,264099
Dundee,Dundee,Scotland,Tayside,https://uk.inaturalist.org/projects/city-nature-challenge-2026-dundee,city-nature-challenge-2026-dundee,269038
Hull,Hull,England,,https://uk.inaturalist.org/projects/city-nature-challenge-2026-hull,city-nature-challenge-2026-hull,265929
Nottingham City,Nottingham City,England,Nottinghamshire,https://uk.inaturalist.org/projects/city-nature-challenge-2026-nottingham-city-uk,city-nature-challenge-2026-nottingham-city-uk,266246
Swansea,Swansea (City and County),Wales,South West Wales,https://uk.inaturalist.org/projects/city-nature-challenge-2026-swansea-city-and-county,city-nature-challenge-2026-swansea-city-and-county,270157
