city,project,country,state,province,link,slug,id
Piracicaba,Piracicaba,Brazil,,São Paulo,"
https://www.inaturalist.org/projects/desafio-da-natureza-urbana-2026-piracicaba-sao-paulo-vizinhos-silvestres",desafio-da-natureza-urbana-2026-piracicaba-sao-paulo-vizinhos-silvestres,278010.0
Palu,Palu and Surrounding Area,Indonesia,,Central Sulawesi,https://www.inaturalist.org/projects/city-nature-challenge-2026-palu-and-surrounding-area,city-nature-challenge-2026-palu-and-surrounding-area,270080.0
Cúcuta,Cúcuta,Colombia,,Norte de Santander,https://colombia.inaturalist.org/projects/city-nature-challenge-2026-cucuta,city-nature-challenge-2026-cucuta,273998.0
Sabana de Bogotá,Sabana de Bogotá,Colombia,,Bogotá,https://colombia.inaturalist.org/projects/reto-naturalista-2026-sabana-de-bogota,reto-naturalista-2026-sabana-de-bogota,270187.0
Baraya,Baraya,Colombia,,Baraya,https://colombia.inaturalist.org/projects/reto-naturalista-urbano-baraya-2026,reto-naturalista-urbano-baraya-2026,274985.0
Departamento de Guatemala,Departamento de Guatemala,Guatemala,,Departamento de Guatemala,https://guatemala.inaturalist.org/projects/reto-naturalista-2026-departamento-de-guatemala,reto-naturalista-2026-departamento-de-guatemala,265959.0
Departamento de Petén,Petén,Guatemala,,Departamento de Petén,https://guatemala.inaturalist.org/projects/reto-naturalista-2026-peten,reto-naturalista-2026-peten,266615.0
Campbell Town,Tasmania,Australia,,Tasmania,https://inaturalist.ala.org.au/projects/city-nature-challenge-2026-tasmania,city-nature-challenge-2026-tasmania,265458.0
Montreal | Tiohtià:ke,Tiohtià:ke | Grande région de Montréal | Greater Montreal Area,Canada,,Quebec,https://inaturalist.ca/projects/c-n-c-defi-nature-urbaine-2026-tiohtia-ke-grand-montreal-greater-montreal-qc-ca,c-n-c-defi-nature-urbaine-2026-tiohtia-ke-grand-montreal-greater-montreal-qc-ca,266320.0
Brandon,Brandon and Area,Canada,,Manitoba,https://inaturalist.ca/projects/city-nature-challenge-2026-brandon-area,city-nature-challenge-2026-brandon-area,266456.0
Calgary,Calgary Metropolitan Region,Canada,,Alberta,https://inaturalist.ca/projects/city-nature-challenge-2026-calgary-metropolitan-region,city-nature-challenge-2026-calgary-metropolitan-region,270324.0
